id,userName,eventText,datePosted
1,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2023-12-01 14:00:02
2,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.50,2023-12-01 14:00:07
3,Unknown,Attempted to access eventLog.php via GET request.,2023-12-01 14:04:35
4,Unknown,Attempted to access eventLog.php via GET request.,2023-12-01 14:04:37
5,Unknown,Attempted to access eventLog.php via GET request.,2023-12-01 14:07:43
6,Unknown,Attempted to access eventLog.php via GET request.,2023-12-01 14:55:41
7,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2023-12-04 11:34:03
8,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.51,2023-12-04 11:34:04
9,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2023-12-04 11:55:39
10,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.51,2023-12-04 11:55:40
11,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.51,2023-12-04 13:30:11
12,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-02-07 14:40:08
13,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.50,2024-02-07 14:40:08
14,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-03-08 11:23:53
15,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.7,2024-03-08 11:24:01
16,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.7,2024-03-08 11:35:34
17,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-03-08 12:02:44
18,Unknown,Attempted to access eventLog.php via GET request.,2024-04-16 15:04:35
19,Unknown,Attempted to access eventLog.php via GET request.,2024-04-18 10:46:54
20,Unknown,Attempted to access eventLog.php via GET request.,2024-04-18 10:51:58
21,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:06:22
22,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 09:22:35
23,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:25:14
24,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:34:41
25,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 09:34:49
26,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:35:38
27,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 09:36:39
28,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:36:45
29,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 09:46:11
30,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:46:12
31,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 09:50:34
32,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 09:50:37
33,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-15 10:19:24
34,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-15 10:19:25
35,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-05-16 09:17:55
36,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.15,2024-05-16 09:18:20
37,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.42,2024-06-04 10:29:01
38,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-07-31 14:51:32
39,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.4,2024-07-31 14:51:34
40,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.7,2024-08-16 11:19:52
41,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.7,2024-08-16 11:21:03
42,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-08-16 11:22:49
43,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.7,2024-08-16 11:22:51
44,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-09-02 09:44:16
45,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.110,2024-09-02 09:44:16
46,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2024-11-06 13:42:02
47,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.103,2024-11-06 13:42:03
48,"Mpuk tl, pm fvb jhu...",Monitoring Initialised. Avoid squishy biologicals at all costs.,2025-03-24 12:46:25
49,"Mpuk tl, pm fvb jhu...",IP: 192.168.1.108,2025-03-24 12:46:25
